data_snapshot;n_analistas;tarefas_existentes;tarefas_concluidas;tarefas_em_execucao;tarefas_em_fila;workload_total_h;workload_medio_por_analista_h;workload_max_analista_h;percentual_analistas_ociosos;fila_media_h;fila_max_h;lead_time_medio_concluidas_h;cenario;n_analistas_cenario;execucao
2026-01-01 09:00:00.000000000;5;1;0;1;0;2,0;0,4;2,0;80,0;0,0;0,0;0,0;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-01-29 09:00:00.000000000;5;101;84;5;12;92,09999999944444;18,419999999888887;52,03333333333333;0,0;14,631944444444445;31,933333333333334;19,393849206269838;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-02-26 09:00:00.000000000;5;201;167;5;29;302,1333333325;60,4266666665;100,03333333333333;0,0;32,237931034482756;71,95;27,151696606686627;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-03-26 09:00:00.000000000;5;301;226;3;72;670,0833333330555;134,01666666661112;542,0333333333333;40,0;69,41180555555556;143,98333333333335;39,67197640106809;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-04-23 09:00:00.000000000;5;401;286;4;111;1072,0666666666666;214,41333333333333;594,0333333333333;20,0;124,86681681681686;263,98333333333335;53,718939393825764;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-05-21 09:00:00.000000000;5;501;350;4;147;1442,0666666663888;288,41333333327776;546,0;20,0;164,86326530612246;367,9666666666667;73,64309523799207;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-06-18 09:00:00.000000000;5;601;410;3;188;1832,0666666663888;366,41333333327776;1092,0333333333333;40,0;189,53980496453903;487,98333333333335;101,128170731605;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-07-16 09:00:00.000000000;5;701;452;4;245;2264,0666666663888;452,81333333327774;1786,0333333330555;20,0;227,13333333333335;623,9666666666667;124,92481563411873;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-08-13 09:00:00.000000000;5;801;517;3;281;2650,0666666666666;530,0133333333333;2456,0333333333333;40,0;238,7422301304864;559,9333333333334;170,4941650547088;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-09-10 09:00:00.000000000;5;901;576;3;322;3026,099999999722;605,2199999999444;2874,0333333333333;40,0;299,3958074534162;584,0;188,8211805554596;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-10-08 09:00:00.000000000;5;1000;634;3;363;3428,0833333330556;685,6166666666111;3138,0333333330555;40,0;378,91997245179067;719,95;194,08646161925168;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-11-05 09:00:00.000000000;5;1000;662;2;336;3100,0499999994445;620,0099999998889;2978,0333333330555;60,0;533,0140873015873;847,9833333333333;207,5237411882213;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-12-03 09:00:00.000000000;5;1000;688;1;311;2818,0333333333333;563,6066666666667;2818,0333333333333;80,0;685,0084137191853;976,0;225,6898013564886;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2026-12-31 09:00:00.000000000;5;1000;701;1;298;2658,0333333330555;531,6066666666111;2658,0333333330555;80,0;832,6107941834451;1119,9333333333334;240,96233951487952;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2027-01-28 09:00:00.000000000;5;1000;714;1;285;2498,0333333333333;499,6066666666667;2498,0333333333333;80,0;980,0927485380117;1255,9666666666667;258,19409430429;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2027-02-25 09:00:00.000000000;5;1000;725;1;274;2338,0333333330555;467,6066666666111;2338,0333333330555;80,0;1129,484793187348;1391,9833333333333;274,337287356223;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2027-03-25 09:00:00.000000000;5;1000;740;1;259;2178,0333333330555;435,6066666666111;2178,0333333330555;80,0;1275,1168597168598;1520,0;297,9630630629632;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2027-04-22 09:00:00.000000000;5;1000;757;1;242;2018,0333333333333;403,6066666666667;2018,0333333333333;80,0;1418,6438016528928;1655,95;326,9335094670938;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2027-05-20 09:00:00.000000000;5;1000;784;1;215;1858,0333333333333;371,6066666666667;1858,0333333333333;80,0;1551,9287596899228;1767,9333333333334;374,52385204071606;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2027-06-17 09:00:00.000000000;5;1000;804;1;195;1698,0333333333333;339,6066666666667;1698,0333333333333;80,0;1691,8635042735048;1887,9666666666667;410,9758913763512;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2027-07-15 09:00:00.000000000;5;1000;820;1;179;1538,0333333333333;307,6066666666667;1538,0333333333333;80,0;1835,630819366853;2015,9666666666667;440,7251626015247;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2027-08-12 09:00:00.000000000;5;1000;834;1;165;1378,0333333330555;275,6066666666111;1378,0333333330555;80,0;1981,2025252525257;2151,9666666666667;468,2645083931841;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2027-09-09 09:00:00.000000000;5;1000;851;1;148;1218,0333333330555;243,6066666666111;1218,0333333330555;80,0;2123,2094594594596;2280,0;503,4696043868939;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2027-10-07 09:00:00.000000000;5;1000;872;1;127;1058,0333333333333;211,60666666666665;1058,0333333333333;80,0;2259,6822834645677;2407,95;547,7782683485214;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2027-11-04 09:00:00.000000000;5;1000;886;1;113;898,0333333333333;179,60666666666665;898,0333333333333;80,0;2403,1508849557526;2535,9666666666667;578,3506772008004;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2027-12-02 09:00:00.000000000;5;1000;903;1;96;738,0333333330556;147,60666666661112;738,0333333330556;80,0;2542,0484375;2664,0;616,4703396086098;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2027-12-30 09:00:00.000000000;5;1000;922;1;77;578,0333333333333;115,60666666666665;578,0333333333333;80,0;2674,770346320347;2791,9833333333336;660,3803506868103;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2028-01-27 09:00:00.000000000;5;1000;948;1;51;418,0333333333333;83,60666666666665;418,0333333333333;80,0;2789,925816993464;2879,9666666666667;720,5597046412485;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2028-02-24 09:00:00.000000000;5;1000;969;1;30;258,0333333333333;51,60666666666666;258,0333333333333;80,0;2918,362777777778;2959,9333333333334;768,1018231853141;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
2028-03-23 09:00:00.000000000;5;1000;989;1;10;98,03333333305555;19,606666666611112;98,03333333305555;80,0;3051,9666666666667;3056,0;813,3130097740822;cenario_2_concentrado_societario;5;cenario_2_concentrado_societario_5_analistas
